NAME_2,amenity,n
Abashiri,pharmacy,3
Abiko,dentist,1
Abiko,hospital,6
Abiko,pharmacy,2
Adachi,clinic,42
Adachi,dentist,14
Adachi,doctors,31
Adachi,hospital,2
Adachi,pharmacy,73
Agematsu,hospital,4
Agematsu,pharmacy,1
Ageo,clinic,1
Ageo,dentist,9
Ageo,doctors,12
Ageo,hospital,10
Ageo,pharmacy,21
Aguni,doctors,1
Aikawa,dentist,6
Aikawa,doctors,2
Aikawa,hospital,10
Aikawa,pharmacy,13
Ainan,hospital,4
Aioi,hospital,5
Aira,hospital,2
Aisai,dentist,4
Aisai,doctors,4
Aisai,hospital,3
Aisai,pharmacy,1
Aizumi,hospital,2
Aizumisato,hospital,1
Aizumisato,pharmacy,3
Aizuwakamatsu,clinic,2
Aizuwakamatsu,dentist,25
Aizuwakamatsu,doctors,79
Aizuwakamatsu,hospital,6
Aizuwakamatsu,pharmacy,83
Aizuwakamatsu,NA,1
Akaiwa,hospital,2
Akaiwa,pharmacy,3
Akashi,clinic,86
Akashi,dentist,51
Akashi,doctors,7
Akashi,hospital,19
Akashi,pharmacy,96
Aki,hospital,3
Akiruno,clinic,1
Akiruno,dentist,1
Akiruno,hospital,11
Akiruno,pharmacy,18
Akishima,clinic,3
Akishima,dentist,3
Akishima,hospital,6
Akishima,pharmacy,10
Akita,clinic,102
Akita,dentist,69
Akita,doctors,4
Akita,hospital,19
Akita,pharmacy,87
Akita,NA,1
Akune,dentist,4
Akune,doctors,10
Akune,hospital,2
Akune,pharmacy,3
Ama,doctors,1
Amagasaki,clinic,27
Amagasaki,dentist,38
Amagasaki,doctors,45
Amagasaki,hospital,31
Amagasaki,pharmacy,71
Amagasaki,NA,2
Amakusa,doctors,3
Amakusa,hospital,14
Amami,dentist,3
Amami,doctors,6
Amami,hospital,7
Amami,pharmacy,6
Ami,clinic,1
Ami,hospital,1
Ami,pharmacy,5
Anamizu,hospital,2
Anan,hospital,8
Anan,pharmacy,1
Annaka,doctors,2
Annaka,hospital,2
Anpachi,clinic,1
Aomori,clinic,87
Aomori,dentist,40
Aomori,doctors,2
Aomori,hospital,9
Aomori,pharmacy,82
Arai,dentist,1
Arai,doctors,1
Arai,pharmacy,1
Arakawa,clinic,18
Arakawa,dentist,15
Arakawa,doctors,19
Arakawa,hospital,1
Arakawa,pharmacy,27
Aridagawa,hospital,2
Arita,clinic,2
Arita,dentist,1
Arita,hospital,1
Arita,pharmacy,2
Asagiri,hospital,1
Asago,doctors,2
Asago,hospital,2
Asago,pharmacy,1
Asahi,clinic,1
Asahi,dentist,5
Asahi,doctors,2
Asahi,hospital,11
Asahi,pharmacy,7
Asahikawa,doctors,6
Asahikawa,hospital,3
Asahikawa,pharmacy,6
Asaka,clinic,2
Asaka,dentist,1
Asaka,hospital,6
