country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,,,,,,,,88.7,87.6,86.6,83.1,82.9,82.6,82.9,83.1,83
Angola,13.2,23.1,22.1,26.9,25.8,20.8,14.5,21.1,18.9,24,25.5,20.7,19.8,15.7,10.1,17.5
Albania,50,60.3,60.7,60.4,56.6,63.8,61.7,63.8,60.4,56.1,56.5,56.9,57.8,58.3,58.7,60.8
Andorra,26.7,26.1,25.2,18.7,25.1,26.6,21.9,22,22.3,21.8,22.1,21.7,22.6,22.5,22.4,22.4
UAE,14.9,14.3,15.3,25.1,26.2,26.9,15.1,28,27.5,30.4,30.1,29.8,29.7,24.9,16.9,18.8
Argentina,28,29.8,28.8,29.1,28.6,29.1,29.3,29.8,30.7,30.6,29.4,28.4,25,22.2,19.9,29.9
Armenia,65.9,69.1,71.5,67.5,67.1,77.1,69.6,68.6,69.1,71.5,66.6,57.7,54.9,51.8,52.5,55.1
Antigua and Barbuda,29.2,31.2,29.6,27.9,26.7,26.9,30,30.3,31.3,32.2,32,30.2,29.6,28.6,29.3,25.8
Australia,16.1,16.9,16.9,19.9,18.6,19.8,19.3,18.8,18.3,18.3,18.6,18.7,18,18.2,19.5,20.5
Austria,15.2,15.7,15.5,15.4,15.2,15.3,16.1,16.2,16.4,16,15.7,15.8,15.4,14.7,14.5,14.6
Azerbaijan,65.6,64.3,61.8,66.6,64.3,63.2,63.3,65.3,77.5,79.2,83,79.5,73.9,73.3,69.3,69.5
Burundi,49.2,43.1,47.5,47.7,47.2,50.4,48,51.3,53.3,41.9,40.2,39,37.7,38.4,39.3,37.9
Belgium,19.6,18.9,21.1,21.2,20.9,20.5,19.7,21.3,19.8,18.5,18.5,20.3,20.6,20.1,19.9,20.2
Benin,54.9,55.6,57.9,55.7,53.9,55.7,50.7,55.8,52.2,52.1,47.7,47.2,46,44.7,42.8,46.8
Burkina Faso,57.7,58.1,55.5,56.6,55.5,57,59.1,52.9,49.4,44.1,38.1,39.4,37.2,38.1,37.1,36.2
Bangladesh,61.3,61.2,55.4,56.8,57.9,58,57.5,57.9,59.7,58.7,62.6,61.2,63.3,66,64.7,63.4
Bahrain,21.6,22,21.4,22.7,22.2,22.3,22.8,22.6,22.3,22.7,21.9,21.1,19.2,16.7,17.1,14.5
Bahamas,24.1,24.1,23.4,22.1,21.4,21.1,21.1,23.2,24.9,26.3,29.5,27.3,29.7,29.6,28.7,29.4
Bosnia and Herzegovina,52.9,55.9,55.5,57,45.5,42.4,39.3,36.7,30.8,42.8,45,44.5,43.5,41.8,38.6,38.6
Belarus,18.6,14.8,8.8,13.4,13.2,14,18.3,20.5,18.2,17.3,19.9,22.2,23.6,27.4,26.9,19.9
Brunei,21.9,18.4,18.6,16,22.1,13.3,18.8,17.5,16.2,16.2,15.7,15.8,15.3,13.8,14.7,14.9
Bhutan,31.6,29.9,30.8,32.8,24.4,20.7,21.6,16.2,25.9,27.5,23.4,18.4,14.7,13.5,13,12
Botswana,17.8,16.4,15.1,16,15.3,13.9,10.2,8.52,9.3,6.9,7.59,7.99,6.95,7.09,7.08,8.11
Central African Republic,57.3,65.8,59.5,63.4,58.5,55.6,58.1,55.9,57.2,58.9,61.4,61.3,62.5,63.4,62.5,61.4
Canada,16,16.3,16.9,16.3,16.4,15.9,15.2,15.2,14.5,14.7,14.6,15,14.8,14.6,14.6,14.7
Switzerland,33.1,31.5,32.4,32.9,33.4,33,31.8,31.6,31.6,31.9,30.6,30.8,30.6,30.5,30.5,30.9
China,46.4,50.6,52.8,54.9,55.9,59,60,57.7,55.9,53.6,52.2,49.3,44,40.4,37.5,36.6
Cote d'Ivoire,76.2,75.2,75.4,78.5,75.7,72.3,74,68.3,72.4,73,78.5,79.3,71,69.4,78.2,77.5
Cameroon,71.9,78.8,74.6,77.7,76.7,74.7,71.7,69.3,69.2,71.9,72.2,72.8,73.3,75.6,70,66.5
"Congo, Dem. Rep.",67.3,69.8,67.9,71.6,68.5,72.4,68.3,67,56.8,57.6,51.1,50.4,47.7,39.2,35.8,35.9
"Congo, Rep.",40.4,39.5,40.2,41.2,42.5,42.3,45,47.3,50.1,46.2,40.5,36.7,42.4,51.9,52.5,53.3
Cook Is,8.66,8.2,10.2,9.47,10.5,9.5,6.7,8.7,8.68,9.57,5.71,6.56,6.5,6.38,6.24,6.16
Comoros,28.8,30.4,33.1,36.3,39.4,47.3,52.5,42.7,41.8,39.6,39,36.3,34.7,32.6,46.8,32.8
Cape Verde,19.2,17.8,17.8,24.7,26,26.4,24.1,24.3,26,22,22.7,21.9,24.9,26.7,25.9,24.9
Cyprus,63.3,64.9,63.6,57,54.6,55.9,55.2,52.8,43.4,46.5,47,46.6,47.8,48.8,48.8,48.8
Czech Republic,9.11,9.33,9.71,9.57,9.52,9.68,10.2,9.53,9.96,10.3,10.7,11.3,13.2,15.7,14.4,14.7
Germany,9.97,9.75,10.6,11.3,11.2,11.4,11.6,11.7,12.1,13.4,13.4,13.7,13.6,13.3,13.1,13
Djibouti,39.3,41,37.9,33.4,28.8,31.7,34.6,35,32.6,37.8,31.2,32.9,30.5,31.7,30.4,34.4
Denmark,16.3,16.2,16.3,16.4,14.6,14.7,14.4,14.1,14,14.2,14.1,13.8,13.6,13.3,13.2,13.1
Algeria,23.9,21.6,24.8,25.5,26.3,25.8,21.7,21.7,20.3,27.4,26.4,24.3,21.5,19.4,19.6,20.9
Egypt,48,54.3,58.4,57.7,57.8,58,58.3,58.8,58.7,58.6,58.4,54.8,57.6,56.5,59.1,61.2
Eritrea,52.1,62.7,57.8,56.9,57.2,52.4,47.3,50.7,52.8,53.8,54,54.4,54.7,49.5,52.3,51.8
Estonia,10.2,11.5,10.6,13.2,12.6,17.4,16.7,17.5,18.5,18.8,20.5,25.3,22.2,19.9,21.1,19.6
Ethiopia,47,48.6,46.4,44.7,42.5,36.8,34.5,37.4,34.4,34.8,31.5,36.1,34.8,38.5,37.1,37.2
Finland,22.6,22.7,22.1,21.6,22.4,22.3,21.8,21.3,19.1,18.8,18.5,19.1,19.3,19.1,19,18.8
Fiji,12.8,11.7,11,11.3,12.4,10.1,12.3,11.1,11.9,12.2,11.8,13.6,15.5,15.5,21.9,19.7
France,7.6,7.32,7.19,7.12,7.16,7.1,7.17,6.97,6.65,6.57,6.62,6.59,7.02,7.44,7.31,7.34
"Micronesia, Fed. Sts.",4.83,5.46,6.17,6.94,6.39,6.15,5.59,6.06,5.1,4.67,6.38,7.23,6.71,9.4,9.08,8.63
Gabon,62.1,59.7,60,59.6,64.4,58,58,63.7,56.2,54.3,57.7,57.3,56.1,56.3,52.1,47.1
UK,10.9,11,14.2,14.2,13.7,13.4,13.5,13.3,12.8,12.4,11.8,11.3,11.7,10.9,9.83,9.99
Georgia,94.8,88.3,81.3,81.7,81.7,82.5,72.3,71.2,77.1,77.4,76.8,72.2,70.8,64.2,66.5,68.3
Ghana,27,27,29.2,28.4,32.1,33,27.6,32.3,31.2,24.4,21.4,28.2,25.3,28.4,28.8,26.9
Guinea,79.1,80.7,79.3,82.8,81.2,80.9,78.1,78.3,75.3,82.6,88.1,86.7,91.4,85.6,91.3,88.2
Gambia,38.2,37.9,37.8,35.5,35,35.6,33.6,33.6,25.4,20.4,21.7,20.8,25,25.1,22.5,23.8
Guinea-Bissau,44.2,40.9,36.8,40.4,39.9,51.5,49.8,35.1,42.2,48.3,48.4,49.7,48.6,49.7,66,66.4
Equatorial Guinea,43,47.6,49.5,50.8,50.6,48.8,35.2,19.1,29.9,38.5,36,28,25.6,41.1,22.1,22.2
Greece,45.9,45,45.1,45.9,44.7,37.8,37,39.7,38,38.7,37.9,36,37.5,37.9,36.2,38.4
Hungary,16,18.4,18.7,22.3,24.9,26.3,27.7,26.3,23.7,23.4,23.8,23,24.3,23.8,23.7,24
Indonesia,46.6,46.1,47.2,48.2,47.9,46.5,41.8,44.7,44.4,44.7,45.6,43.1,40.6,40.3,40.5,38.3
India,67.6,67.6,68.8,68.3,65.6,68,70.4,70.6,70.7,69.1,68.4,66.8,65.1,62.9,60.2,61.2
Ireland,15.4,15.5,15.3,14.4,15,15.2,15,14.5,16,15.7,15.3,14.4,13.9,14.4,12.3,15.2
Iran,53.6,51.1,49.7,49.9,55.4,56.2,53.7,53.5,51.4,54.1,53.2,51.8,53.5,51.9,56.9,57.8
Iraq,,99.6,99.6,96.7,96.8,98.9,98.3,97.1,54.6,27.8,32.6,36.2,30.5,25.4,21.9,18.8
Iceland,15.6,16.4,15.1,19.1,16.9,18.5,18.6,17.7,16.7,17.2,16.9,16.3,15.7,15.1,16.4,17.9
Israel,27.2,22.5,21.4,25,27.2,24.6,26.7,29.1,27.5,26.4,26.7,28.5,29.1,30.8,29.2,29.2
Italy,26.6,26.5,26.4,26.7,26.1,24.5,22.1,22.4,22.4,21.2,20.5,19.9,20.1,19.6,19.6,19.6
Jordan,24.4,26.9,28.5,29.8,33.8,39,38.4,39.2,41.3,39.6,40.8,40,35.9,31.9,22.9,25.1
Japan,14,14.1,15.2,15.7,15.4,15.4,15.2,15.6,16.4,16.3,15.4,17,16.1,15.8,14.5,14.3
Kazakhstan,35.5,35.9,35.2,35.4,46.9,48.4,42.6,45.9,44.8,41.3,37.5,41,47.2,41,40.3,40.1
Kenya,42,47.4,48.4,44.7,48.4,43.2,44.5,44.8,44.8,45.5,44.7,43.1,44.1,46.2,43.5,42.7
Kyrgyz Republic,39.2,46.9,44.8,46.9,45.9,49.8,53.3,55,57.7,55.8,56,50.5,47.1,45,41.5,37.8
Cambodia,70.5,49.8,54.7,66.5,71,71.2,61.7,58.9,51.6,50.6,56.3,54.2,47.4,46.7,42.3,40.4
South Korea,52,48.9,45.9,41.1,40.5,41.5,36.3,37.4,38,38.3,37.9,35.7,34.7,34.2,32.4,31.4
Kuwait,17,19.3,18.9,19.7,19.2,22.4,17.4,18.8,17.9,18.4,18.3,17.2,19.3,19.7,13.2,17.8
Lao,35.8,38.2,38.1,51.3,63.4,59.6,50.3,50.9,55.8,62.4,65.8,65.3,66.4,56.8,50.7,51.1
Lebanon,55.3,55.3,56.3,59.6,56.8,52.4,47.1,40.8,43.7,42.4,39.4,42.8,44.3,41,42.7,44.7
Liberia,,,,35.7,35,36.4,34.9,38.8,38.4,36.7,34.2,36.6,40.1,35,34.2,35.2
Libya,50.4,51.2,54.9,48,49.8,42.8,35.4,35.2,36.5,37,38.2,39,34.1,29.7,33.9,31.2
Sri Lanka,45.8,47.1,47.2,42.9,44.7,42.6,45.4,47.1,46.9,43.9,43.3,43,41.9,43.7,44.4,44.9
Lesotho,41.1,38.4,39.9,37.5,37.6,36.1,30.1,30.7,28.7,29.4,32.2,27.6,23.2,20.6,17.7,16.4
Luxembourg,6.18,7.17,7.4,7.6,7.34,11.8,12.5,11.8,12.2,11.6,11.6,11.5,12.2,12.4,11.6,11.3
Morocco,52.7,52.8,55.5,54.4,54.6,54,51.8,60.5,60,59.1,59.8,58,55,54.5,52.9,53.5
Monaco,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Moldova,27.4,27.4,28.2,36.4,43.7,42.9,47.1,39.6,41.9,40.4,44.7,46.1,45.7,45.1,43.7,44.9
Madagascar,24.7,21.7,20.5,21,20.6,17.7,16.1,17.4,19,19.9,20.6,21.5,22.9,21.3,24.2,27.1
Maldives,14.3,20.9,21.1,22.3,21,23,23.1,23.6,34.4,32.4,26.2,25.5,24.9,21.9,28.2,28.3
Marshall Islands,12.9,10.8,10.2,11,10.9,9.06,10.5,11.2,12.7,12.4,13,12.3,12.4,13.5,12.1,12.6
North Macedonia,41.3,41.1,39.7,35.8,40.1,42.2,40.8,40.8,41.2,40.2,38,34.8,35.5,31.6,33.2,35.9
Mali,47.7,60.4,63.9,65.5,69.7,66.5,55,59.6,55.1,50.5,53.2,51.5,51.7,53.2,52.5,53.1
Myanmar,80.7,83.3,85.3,89.2,88.8,85.9,87.5,83.4,86.1,85,90.3,81.3,84,84.8,81.9,81.1
Montenegro,29,29.1,28.9,29,29.5,28.2,26.9,28.6,24.6,25.6,28,29.1,28,26.9,26.1,29.9
Mongolia,14.5,13.4,12.1,12.8,12.1,12.1,10.5,16.9,15.2,8.66,15.8,23.2,30.3,40,41.6,41.4
Mozambique,13.8,16.4,14.6,14.9,13.8,12.6,12.7,11.8,13.3,15.2,12.1,12.4,10.1,8.43,11.9,13.7
Mauritania,38.7,48.3,46.4,38.2,30.5,31.6,37.9,31.5,34.4,32.9,35.2,35.6,39.7,45.8,44.6,44.3
Mauritius,33.6,34,33.9,33.4,33.6,35.8,35.6,36.3,36.4,36.6,44,49.8,56.5,58.7,55.8,51.7
Malawi,28.9,33.8,30.2,26.6,25,22,23.9,16.5,11.8,9.42,8.81,8.8,9.86,10.4,9.49,11.1
Malaysia,28,27,28.6,28.6,29.1,29.6,27.6,28.8,27.7,31.9,36.2,33.6,34.3,34.3,34,34.2
Namibia,6.33,6.03,6.27,6.02,5.67,5.64,2.98,3.93,5.09,3.75,3.72,3.24,8.52,8.13,8.07,7.45
Niger,48.4,50.3,45.1,45.2,45.3,45.2,41.3,41.1,43.1,41.5,47.6,43.7,46,41.5,42,41.3
Nigeria,70.3,75,72.3,70.2,67.2,61.6,62.7,67.3,74.7,64.2,67.9,63.1,57.7,56.1,62.1,59.2
Niue,1.61,1.33,1.53,1.65,1.41,1.54,,1.4,1.09,0.846,0.95,0.784,0.758,0.741,0.701,0.702
Netherlands,9.64,8.12,7.67,8.45,8.99,8.98,8.7,8.02,7.32,7.16,7.12,5.63,5.52,5.74,5.74,5.2
Norway,17.8,17.8,17.8,17,16.6,16.7,15.7,15.8,15.5,15.6,15.7,15.4,15,14.9,15.1,15.3
Nepal,78.3,77.9,74.5,71.5,74.3,71.4,65,63.7,65.7,56,53.4,49.5,53.5,48.6,49.2,48.4
Nauru,3.41,2.85,2.63,2.21,2.67,2.92,3.05,3.17,3.95,2.96,3.82,3.58,2.62,4,4.96,4.96
New Zealand,16.1,16.3,15.6,16.3,15.9,15.4,17,16.1,15.6,14.1,14.1,13.8,11.4,11.2,10.6,10.5
Oman,10.1,10.1,10.7,11.9,11.9,11.8,11.3,10.2,10.6,11.2,10.6,11.6,12.1,14.4,13.5,12.3
Pakistan,72.6,71.2,73.3,65.4,66.6,63.5,62,56,61.5,61.2,60.6,57.4,56.6,52.6,53.3,50.5
Philippines,50,48.3,46.5,46.3,43.3,40.5,43.9,46.8,46.9,46.9,49.2,52.3,54.4,56.4,54.2,54
Palau,18.7,17.1,17.6,22.2,22.3,24,13.3,10.3,8.32,8.91,9.42,8.25,8.7,9.16,8.89,9.15
Papua New Guinea,6.38,6.5,9.11,7.91,8.58,10.2,9.62,11.3,11.7,10.9,11.4,12.5,15.7,13.7,16.4,15.9
Poland,27.1,26.6,28,34.6,28.9,30,28.1,25.4,26.4,28.1,26.1,25.6,24.2,22.4,22.3,22.1
Portugal,23.9,23.3,22.9,23,23.7,24.9,24.9,23.9,24.1,24.4,24.8,26,26.4,27.2,25,24.8
Qatar,34.6,30.1,28.3,29.9,29,26.4,23.6,23.8,15.3,15.3,15.3,15.2,15.2,15.2,15.8,16
Russia,16.9,18.1,18.1,23,27.5,30,30.5,30.9,32.8,33.2,31.3,30,29.7,29,30.1,31.4
Rwanda,26.3,24.7,24.9,21.3,22.4,24.8,23.6,24.7,17.4,17.4,16.4,20.7,23.5,23.3,22.8,22.2
Saudi Arabia,34.9,32.7,30.5,30.4,22.3,18.9,18.5,18.9,18.4,18.2,16.5,15.4,16.8,18.8,19.7,18.6
